"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R12,R13";"R_0603";2;"4.7k";;;
2;"R4";"R_0603";1;"1k";;;
3;"FRAME1";"CREATIVE_COMMONS";1;"FRAME-LETTER";;;
4;"C7";"C_0603";1;"2.2uF";;;
5;"C8,C12,C14,C6";"C_0603";4;"1.0uF";;;
6;"C9,C10,C11,C13,C4";"C_0603";5;"0.1uF";;;
7;"J6";"2X4";1;"CONN_04X2";;;
8;"Q1";"RESONATOR-SMD-3.2X1.3";1;"8/16/20MHz";;;
9;"R9,R6,R7,R16";"R_0603";4;"10k";;;
10;"R10,R14,R8,R11";"R_0603";4;"330";;;
11;"R15,R2,R3";"R_0603";3;"470";;;
12;"U2";"SOT353";1;"74LVC1G08SE";;;
13;"U3";"SO16";1;"CH340G";;;
14;"U5";"TQFP32-08";1;"ATMEGA328";;;
15;"Y1";"CRYSTAL-SMD-3.2X2.5MM";1;"12MHz";;;
16;"J4,J5";"1X04";2;"CONN_04";;;
17;"B1";"SparkX-6.8MM_COIN_CELL";1;"COIN CELL";;;
18;"C1,C2";"C_0603";2;"10pF";;;
19;"C3";"C_0603";1;"10nF";;;
20;"D1,D9";"LED_0603";2;"BLUE";;;
21;"D2";"SparkFun-DiscreteSemi-SOD-323";1;"0.5A/40V/420mV";;;
22;"D5,D6,D7,D8";"LED_0603";4;"Green";;;
23;"FB1";"L_0603";1;"600Ohm/100MHz";;;
24;"J1";"SparkX-U.FL";1;"U.FL";;;
25;"J2";"USB-B-MICRO-SMD";1;"microB";;;
26;"J3";"2X3";1;"AVR_SPI_PROG_3X2PTH";;;
27;"JP2,JP6";"FIDUCIAL-MICRO";2;"FIDUCIALUFIDUCIAL";;;
28;"JP5";"SMT-JUMPER_2_NC_TRACE_NO-SILK";1;"~";;;
29;"L1";"L_0603";1;"33nH/~5%/500mA";;;
30;"R1,R19,R20";"R_0603";3;"1K";;;
31;"S1";"TACTILE_SWITCH_SMD_5.2MM";1;"Reset";;;
32;"U$1";"SparkX-SPARKX-LARGE";1;"SPARKX-LOGO5";;;
33;"U1";"SparkX-TITAN_X1_GPS";1;"TITAN X1 GPS";;;
34;"C15,C5";"C_0603";2;"4.7uF";;;
35;"D10";"SparkFun-DiscreteSemi-SOD-323";1;"BAT20J";;;
36;"JP8";"JST-2-PTH";1;"LiPo";;;
37;"Q2";"SparkFun-DiscreteSemi-SOT23-3";1;"2.5A/30V";;;
38;"R17";"R_0603";1;"2.0k";;;
39;"U6";"SOT23-5";1;"MCP73831";;;
40;"U4";"SOT23-5";1;"AP2112K-3.3V";;;
41;"D3,D11";"LED_0603";2;"Yellow";;;
42;"D4";"LED_0603";1;"GREEN";;;
43;"D12";"LED_0603";1;"RED";;;
